bloque,id_registro,etiqueta_llm,confianza_llm,justificacion_llm,modelo
semilla,3124,positivo,0.92,"Elogia tamaño, variedad y ofertas, sin exageración.",openai/gpt-oss-120b
semilla,4090,positivo,0.91,Elogio general con pequeña crítica.,openai/gpt-oss-120b
semilla,2758,muy negativo,0.98,"Queja fuerte, rechazo total, indica no volver.",openai/gpt-oss-120b
semilla,1717,muy positivo,0.95,Entusiasmo y recomendación clara.,openai/gpt-oss-120b
semilla,4604,positivo,0.9,Elogio positivo sin exceso.,openai/gpt-oss-120b
semilla,312,muy negativo,0.96,"Queja intensa, califica como peor, sugiere cambiar.",openai/gpt-oss-120b
semilla,1088,neutral,0.88,Comentario equilibrado entre elogio y crítica.,openai/gpt-oss-120b
semilla,3691,negativo,0.9,Critica lentitud y escasez de cajas pese a amplitud.,openai/gpt-oss-120b
semilla,3190,muy positivo,0.98,"Calidad buena y trato amable, elogio sin reservas",openai/gpt-oss-120b
semilla,363,muy negativo,0.99,"Queja grave de lenta atención, peor servicio y sin reclamos",openai/gpt-oss-120b
semilla,4065,negativo,0.96,Productos en descomposición y falta de revisión pese a renovaciones,openai/gpt-oss-120b
semilla,2754,muy positivo,0.97,"Amplia variedad y ofertas, reseña entusiasta",openai/gpt-oss-120b
semilla,2654,neutral,0.95,"Atención buena, precios similares, promociones poco atractivas",openai/gpt-oss-120b
semilla,1633,negativo,0.96,Atención lenta y falta de personal en horario pico,openai/gpt-oss-120b
semilla,1857,positivo,0.95,"Buenos precios y orden, zona mayorista con ofertas",openai/gpt-oss-120b
semilla,962,positivo,0.95,"Servicio bueno, aunque tiempos lentos, buen diseño",openai/gpt-oss-120b
semilla,1247,muy positivo,0.97,"Ofertas excelentes y café agradable, reseña entusiasta",openai/gpt-oss-120b
semilla,1674,muy negativo,0.99,"Cobro extra, mala atención y abuso al consumidor",openai/gpt-oss-120b
semilla,202,positivo,0.94,Comentario breve pero positivo,openai/gpt-oss-120b
semilla,1581,positivo,0.94,Ventanas abiertas y atención rápida,openai/gpt-oss-120b
semilla,1662,negativo,0.95,"Pocas ATM, colas largas y monto mínimo restrictivo",openai/gpt-oss-120b
semilla,1157,negativo,0.95,"Personal clasista, atención lenta y falta de tallas",openai/gpt-oss-120b
semilla,3622,positivo,0.95,"Tienda acogedora, limpia y atención rápida",openai/gpt-oss-120b
semilla,966,muy positivo,0.98,"Amplia, personal amable y soluciones pacientes",openai/gpt-oss-120b
semilla,1163,neutral,0.94,"Cajeros llenos, pero asistencia rápida para prenda",openai/gpt-oss-120b
semilla,4667,negativo,0.95,"Servicio al cliente peor, busca otra tienda",openai/gpt-oss-120b
semilla,4637,positivo,0.95,Variedad y buena atención similar a otras tiendas,openai/gpt-oss-120b
semilla,3400,muy negativo,0.99,"Mala orientación, falta de empatía y atención deficiente",openai/gpt-oss-120b
semilla,720,muy positivo,0.97,"Entusiasmo por cambio de piso, reseña positiva",openai/gpt-oss-120b
semilla,3497,positivo,0.94,Comentario breve pero positivo,openai/gpt-oss-120b
semilla,1707,negativo,0.95,Precios razonables pero discriminación en cajas especiales,openai/gpt-oss-120b
semilla,731,positivo,0.95,"Amplio, buen personal y espera mínima",openai/gpt-oss-120b
semilla,2372,muy negativo,0.99,"Servicio horrible, falta de respuesta y atención",openai/gpt-oss-120b
semilla,2887,positivo,0.78,"Elogio inicial, pero menciona mejoras, tono moderadamente positivo",openai/gpt-oss-120b
semilla,2913,negativo,0.85,"Describe mala atención y largas esperas, predominan quejas",openai/gpt-oss-120b
semilla,37,muy negativo,0.9,"Enojo intenso, denuncia fraude, recomienda no usar",openai/gpt-oss-120b
semilla,919,muy negativo,0.85,Expresión corta de fuerte descontento,openai/gpt-oss-120b
semilla,2184,negativo,0.8,"Agradece ayuda pero reclama falta de solución, tono negativo",openai/gpt-oss-120b
semilla,4779,muy positivo,0.95,"Entusiasmo claro, recomienda fuertemente",openai/gpt-oss-120b
semilla,4534,positivo,0.78,"Elogio general, menciona único inconveniente",openai/gpt-oss-120b
semilla,4187,muy positivo,0.85,"Elogio enfático, destaca variedad",openai/gpt-oss-120b
semilla,185,muy positivo,0.9,Palabra corta pero entusiasta,openai/gpt-oss-120b
semilla,878,muy negativo,0.9,"Denuncia grave, recomienda no usar",openai/gpt-oss-120b
semilla,2673,muy positivo,0.9,Entusiasmo y recomendación implícita,openai/gpt-oss-120b
semilla,769,negativo,0.75,Queja breve de mala atención,openai/gpt-oss-120b
semilla,2229,muy negativo,0.95,"Acusación de estafa, rechazo total",openai/gpt-oss-120b
semilla,4451,positivo,0.8,Elogio general sin exageración,openai/gpt-oss-120b
semilla,1191,neutral,0.75,"Elogia y critica, equilibrio",openai/gpt-oss-120b
semilla,925,negativo,0.78,Queja clara de mala atención,openai/gpt-oss-120b
semilla,3188,muy positivo,0.88,Entusiasmo y recomendación implícita,openai/gpt-oss-120b
semilla,210,neutral,0.6,Texto insuficiente para polaridad,openai/gpt-oss-120b
semilla,4706,positivo,0.8,"Elogia variedad, menciona pequeños inconvenientes",openai/gpt-oss-120b
semilla,1331,positivo,0.75,Comentario mayormente positivo con sugerencias,openai/gpt-oss-120b
semilla,26,muy negativo,0.99,Uso de 'pésimo' y queja grave sobre atención.,openai/gpt-oss-120b
semilla,3309,negativo,0.99,Queja clara de mala atención pese a variedad.,openai/gpt-oss-120b
semilla,473,positivo,0.99,Elogio de rapidez en la atención.,openai/gpt-oss-120b
semilla,558,muy negativo,0.99,Queja grave de mala coordinación y pérdida de tiempo.,openai/gpt-oss-120b
semilla,350,negativo,0.99,"Califica la app como mediocre, muestra insatisfacción.",openai/gpt-oss-120b
semilla,3993,positivo,0.99,Recomendación general pese al precio alto.,openai/gpt-oss-120b
semilla,3768,muy positivo,0.99,"Elogio amplio, buen control bioseguridad y variedad.",openai/gpt-oss-120b
semilla,4714,muy positivo,0.99,"Elogio entusiasta de calidad, variedad y atención cálida.",openai/gpt-oss-120b
semilla,106,positivo,0.99,"Elogio a la arquitectura, tono positivo.",openai/gpt-oss-120b
semilla,2105,muy negativo,0.99,"Denuncia estafa, cobro indebido y mala gestión.",openai/gpt-oss-120b
semilla,3867,neutral,0.99,"Comentario sin valoración, solo indica ausencia.",openai/gpt-oss-120b
semilla,946,positivo,0.99,"Elogio a atención y stock, aunque falta modelo.",openai/gpt-oss-120b
semilla,4386,neutral,0.99,"Elogio ubicación, pero critica cantidad de carnes y productos.",openai/gpt-oss-120b
semilla,35,muy negativo,0.99,Queja fuerte por larga espera y mala atención.,openai/gpt-oss-120b
semilla,1678,muy negativo,0.99,"Denuncia pésimo servicio, fallas y pérdida de tiempo.",openai/gpt-oss-120b
semilla,2328,positivo,0.99,"Elogio atención y asesoría, aunque critica estacionamiento.",openai/gpt-oss-120b
semilla,2437,negativo,0.99,Queja de lentitud y pérdida de tiempo.,openai/gpt-oss-120b
semilla,1316,positivo,0.99,"Elogio espacio y amabilidad, menciona poco personal.",openai/gpt-oss-120b
semilla,4143,neutral,0.99,Descripción objetiva sin valoración positiva ni negativa.,openai/gpt-oss-120b
semilla,780,negativo,0.99,Queja de mala atención y falta de concentración.,openai/gpt-oss-120b
semilla,3881,muy negativo,0.97,Queja grave de atención y cuenta inválida,openai/gpt-oss-120b
semilla,2033,positivo,0.88,"Buen lugar, pero se llena rápido",openai/gpt-oss-120b
semilla,2698,positivo,0.85,"Elogia calidad, menciona poca variedad masculina",openai/gpt-oss-120b
semilla,4500,muy negativo,0.96,Queja grave de productos y falta de respuesta,openai/gpt-oss-120b
semilla,2034,neutral,0.8,"Comentario mixto, falta de orientación pero no es malo",openai/gpt-oss-120b
semilla,448,positivo,0.85,"Elogia seguridad, orden y buena atención",openai/gpt-oss-120b
semilla,102,muy positivo,0.95,Elogio breve y entusiasta,openai/gpt-oss-120b
semilla,1663,positivo,0.84,Describe espacio amplio y agradable,openai/gpt-oss-120b
semilla,1615,muy positivo,0.92,Comentario breve y muy elogioso,openai/gpt-oss-120b
semilla,1499,positivo,0.86,"Elogia limpieza y ofertas, menciona rapidez de agotamiento",openai/gpt-oss-120b
semilla,1280,negativo,0.82,Critica exceso de pantallas y contaminación visual,openai/gpt-oss-120b
semilla,532,muy negativo,0.99,Queja extensa y severa sobre atención y gestión,openai/gpt-oss-120b
semilla,3271,positivo,0.83,"Describe orden y limpieza, sin quejas",openai/gpt-oss-120b
semilla,1579,muy positivo,0.96,Elogio extenso y entusiasta del servicio,openai/gpt-oss-120b
semilla,4097,positivo,0.84,"Elogia atención, señala falta de productos y ofertas",openai/gpt-oss-120b
semilla,880,muy negativo,0.97,Denuncia fraude y pésimo servicio,openai/gpt-oss-120b
semilla,2240,muy negativo,0.96,Queja grave de falta de atención y denuncias,openai/gpt-oss-120b
semilla,956,neutral,0.8,Descripción informativa sin elogios ni quejas,openai/gpt-oss-120b
semilla,1815,muy positivo,0.94,Elogio entusiasta de descuentos y organización,openai/gpt-oss-120b
semilla,2094,neutral,0.78,Comentario descriptivo sin valoración clara,openai/gpt-oss-120b
semilla,2783,negativo,0.94,Quejas sobre cajas cerradas y cobros excesivos.,openai/gpt-oss-120b
semilla,1009,muy negativo,0.96,Queja grave de larga espera y atención pésima.,openai/gpt-oss-120b
semilla,3915,negativo,0.9,Señala deficiencias sin expresar enojo.,openai/gpt-oss-120b
semilla,3074,neutral,0.93,Solo describe productos sin valoración.,openai/gpt-oss-120b
semilla,3321,muy positivo,0.97,Elogio entusiasta y recomendación fuerte.,openai/gpt-oss-120b
semilla,1736,positivo,0.94,Recomendación positiva con varios beneficios.,openai/gpt-oss-120b
semilla,1082,positivo,0.92,Comentario breve pero favorable sobre atención.,openai/gpt-oss-120b
semilla,53,neutral,0.95,Información sin valoración.,openai/gpt-oss-120b
semilla,3646,muy positivo,0.96,Entusiasmo y recomendación clara.,openai/gpt-oss-120b
semilla,2137,negativo,0.93,Crítica a la gestión de reclamos.,openai/gpt-oss-120b
semilla,857,positivo,0.92,Elogio breve y favorable.,openai/gpt-oss-120b
semilla,2853,neutral,0.88,Combina comentario positivo y negativo sin dominio.,openai/gpt-oss-120b
semilla,4030,muy positivo,0.97,Elogio entusiasta y recomendación fuerte.,openai/gpt-oss-120b
semilla,1887,muy positivo,0.98,Elogio extenso y entusiasta del supermercado.,openai/gpt-oss-120b
semilla,848,muy positivo,0.95,Palabra única de alta valoración.,openai/gpt-oss-120b
semilla,1474,positivo,0.91,Menciona buena ubicación y ofertas.,openai/gpt-oss-120b
semilla,712,positivo,0.9,Comentario breve pero favorable sobre rapidez.,openai/gpt-oss-120b
semilla,2920,muy negativo,0.96,Denuncia caos y falta de supervisión.,openai/gpt-oss-120b
semilla,4728,positivo,0.92,Comentario mayormente favorable con pequeñas observaciones.,openai/gpt-oss-120b
semilla,3624,positivo,0.91,Elogio breve de limpieza y seguridad.,openai/gpt-oss-120b
semilla,3481,positivo,0.88,"Comodidad destacada, sin quejas, tono positivo.",openai/gpt-oss-120b
semilla,4330,muy positivo,0.92,"Muchos elogios, recomienda, tono entusiasta.",openai/gpt-oss-120b
semilla,2507,negativo,0.9,"Critica variedad y calidad, tono claramente negativo.",openai/gpt-oss-120b
semilla,134,muy negativo,0.96,"Expresión de enojo fuerte, califica atención como mala.",openai/gpt-oss-120b
semilla,4106,positivo,0.86,"Elogia variedad y parqueo, menciona ligera dificultad.",openai/gpt-oss-120b
semilla,4168,positivo,0.9,"Alaba precios, amabilidad, tono satisfecho.",openai/gpt-oss-120b
semilla,4610,muy positivo,0.9,"Elogio amplio, personal eficiente, tono muy entusiasta.",openai/gpt-oss-120b
semilla,4785,muy positivo,0.9,"Elogios y recomendación fuerte, tono muy positivo.",openai/gpt-oss-120b
semilla,742,muy positivo,0.85,"Breve pero usa 'Excelente', tono muy positivo.",openai/gpt-oss-120b
semilla,40,negativo,0.84,"Menciona beneficios pero críticas fuertes, calificación baja.",openai/gpt-oss-120b
semilla,3357,muy positivo,0.9,"Elogio surtido y atención, tono muy positivo.",openai/gpt-oss-120b
semilla,2089,positivo,0.86,"Buena atención y solución rápida, tono positivo.",openai/gpt-oss-120b
semilla,1445,muy negativo,0.95,"Queja grave sobre atención, tono muy negativo.",openai/gpt-oss-120b
semilla,2116,muy negativo,0.95,"Denuncia mala actitud, tono muy negativo.",openai/gpt-oss-120b
semilla,3181,positivo,0.86,"Elogia organización y respuesta rápida, tono positivo.",openai/gpt-oss-120b
semilla,1791,neutral,0.8,"Queja de promoción engañosa, pero sigue comprando.",openai/gpt-oss-120b
semilla,2529,positivo,0.86,"Destaca variedad y marcas locales, tono positivo.",openai/gpt-oss-120b
semilla,1876,positivo,0.86,"Resalta ubicación y amplio estacionamiento, tono positivo.",openai/gpt-oss-120b
semilla,433,negativo,0.8,"Señala falta de fila preferencial, tono negativo.",openai/gpt-oss-120b
semilla,2099,negativo,0.86,"Reclamos no resueltos, calidad baja, tono negativo.",openai/gpt-oss-120b
semilla,4271,neutral,0.9,Comentario informativo sin valoración,openai/gpt-oss-120b
semilla,1407,positivo,0.94,"Elogia mucho, menciona solo una queja menor",openai/gpt-oss-120b
semilla,1379,positivo,0.92,Resalta variedad y seguridad sin exagerar,openai/gpt-oss-120b
semilla,863,muy positivo,0.96,"Entusiasmo claro, recomienda implícitamente",openai/gpt-oss-120b
semilla,1749,positivo,0.9,"Comentario positivo, sin exageración",openai/gpt-oss-120b
semilla,2171,muy negativo,0.97,"Queja grave de atención, recomienda no ir",openai/gpt-oss-120b
semilla,2194,neutral,0.88,Elogio y queja equilibrados,openai/gpt-oss-120b
semilla,23,muy negativo,0.96,"Queja grave, solicita solución, tono enfadado",openai/gpt-oss-120b
semilla,2348,muy positivo,0.93,Entusiasmo y recomendación clara,openai/gpt-oss-120b
semilla,3384,muy negativo,0.99,"Denuncia grave, recomienda no consumir",openai/gpt-oss-120b
semilla,4432,positivo,0.9,"Elogio del producto, tono moderado",openai/gpt-oss-120b
semilla,4098,positivo,0.9,"Resalta variedad y espacio, sin quejas",openai/gpt-oss-120b
semilla,1092,muy positivo,0.95,Elogio breve pero entusiasta,openai/gpt-oss-120b
semilla,2071,neutral,0.85,Elogio y queja equilibrados,openai/gpt-oss-120b
semilla,1592,neutral,0.8,Comentario breve sin valoración clara,openai/gpt-oss-120b
semilla,158,muy negativo,0.96,Queja grave dirigida a extranjeros,openai/gpt-oss-120b
semilla,356,muy positivo,0.95,Elogio entusiasta y breve,openai/gpt-oss-120b
semilla,140,negativo,0.88,Queja de falla y aglomeración,openai/gpt-oss-120b
semilla,4089,positivo,0.92,"Elogia variedad, menciona problema menor",openai/gpt-oss-120b
semilla,3398,negativo,0.87,Critica calidad de ropa pese a elogios al local,openai/gpt-oss-120b
semilla,1601,negativo,0.85,"Buena atención pero sospecha e inquisición, quejas predominan",openai/gpt-oss-120b
semilla,3031,positivo,0.9,"Todo rápido y variedad, satisfacción moderada",openai/gpt-oss-120b
semilla,4138,muy positivo,0.95,"Entusiasmo claro, recomienda fuertemente",openai/gpt-oss-120b
semilla,206,positivo,0.8,"Comentario breve, tono ligeramente positivo",openai/gpt-oss-120b
semilla,1313,positivo,0.88,"Variedad y precios buenos, preferencia sobre competencia",openai/gpt-oss-120b
semilla,3490,positivo,0.9,Elogio general sin quejas,openai/gpt-oss-120b
semilla,1892,positivo,0.85,"Mayoría positiva, pequeña queja de baños",openai/gpt-oss-120b
semilla,2314,negativo,0.8,Falta de coordinación y problemas de pago señalados,openai/gpt-oss-120b
semilla,33,muy negativo,0.97,"Queja grave, enojo, recomienda no ir",openai/gpt-oss-120b
semilla,4473,positivo,0.9,"Elogio breve, satisfacción moderada",openai/gpt-oss-120b
semilla,4081,positivo,0.85,"Elogio amplio, tono satisfecho",openai/gpt-oss-120b
semilla,24,negativo,0.85,"Ambiente bonito, pero servicio desastroso domina",openai/gpt-oss-120b
semilla,1613,muy positivo,0.95,"Elogio máximo, recomendación implícita",openai/gpt-oss-120b
semilla,2842,positivo,0.85,"Buena atención, falta lector de precios",openai/gpt-oss-120b
semilla,4104,positivo,0.88,"Elogio general, pequeñas críticas de calidad y ofertas",openai/gpt-oss-120b
semilla,266,neutral,0.8,"Información equilibrada, sin clara polaridad",openai/gpt-oss-120b
semilla,2118,muy negativo,0.96,"Queja grave, desconfianza total",openai/gpt-oss-120b
semilla,1712,positivo,0.9,"Elogio general, orden, limpieza y buenos precios",openai/gpt-oss-120b
semilla,779,muy positivo,0.9,Entusiasmo y recomendación fuerte como número 1,openai/gpt-oss-120b
semilla,3988,neutral,0.8,"Descripción equilibrada, incluye inconveniente de estacionamiento",openai/gpt-oss-120b
semilla,745,positivo,0.95,"Elogio sencillo, sin peros ni entusiasmo extremo.",openai/gpt-oss-120b
semilla,2513,positivo,0.9,"Destaca variedad y precios competitivos, tono favorable.",openai/gpt-oss-120b
semilla,2429,negativo,0.9,"Queja extensa sobre colas y atención, predominan aspectos negativos.",openai/gpt-oss-120b
semilla,4755,positivo,0.9,"Elogio a frescura y surtido, sin entusiasmo exagerado.",openai/gpt-oss-120b
semilla,3600,positivo,0.9,"Comentario breve y positivo, sin exageración.",openai/gpt-oss-120b
semilla,2987,muy positivo,0.95,"Elogio entusiasta a infraestructura, atención, precios y variedad.",openai/gpt-oss-120b
semilla,2399,muy negativo,0.98,"Fuerte queja, desaconseja totalmente el local.",openai/gpt-oss-120b
semilla,2794,neutral,0.85,"Combina elogios y críticas al personal, tono mixto.",openai/gpt-oss-120b
semilla,131,muy positivo,0.97,Comentario breve pero altamente elogioso.,openai/gpt-oss-120b
semilla,1839,muy negativo,0.98,"Queja grave sobre limpieza, distribución y personal, desaconseja.",openai/gpt-oss-120b
semilla,1699,neutral,0.85,"Elogia en general, pero critica fuertemente al encargado.",openai/gpt-oss-120b
semilla,1063,muy negativo,0.98,"Fuerte queja de servicio y organización, tono extremadamente negativo.",openai/gpt-oss-120b
semilla,4436,positivo,0.88,"Elogio amplio a ofertas y calidad, tono entusiasta moderado.",openai/gpt-oss-120b
semilla,4614,positivo,0.9,"Breve elogio al surtido y calidad, sin exageración.",openai/gpt-oss-120b
semilla,1925,positivo,0.9,"Elogio al lugar y ofertas, tono favorable.",openai/gpt-oss-120b
semilla,4633,neutral,0.85,"Elogia calidad pero critica precios y disponibilidad, tono mixto.",openai/gpt-oss-120b
semilla,2606,positivo,0.9,"Resalta variedad y cumplimiento de normas, tono favorable.",openai/gpt-oss-120b
semilla,2336,neutral,0.85,Combina experiencia positiva en oficina con queja del servicio telefónico.,openai/gpt-oss-120b
semilla,2590,positivo,0.9,Elogio breve a productos y precios accesibles.,openai/gpt-oss-120b
semilla,1249,muy positivo,0.97,"Elogio extenso y entusiasta a variedad, precios y atención.",openai/gpt-oss-120b
semilla,726,muy positivo,0.95,Elogio entusiasta y recomendación clara,openai/gpt-oss-120b
semilla,34,negativo,0.9,"Insatisfacción clara, queja moderada sin amenaza grave",openai/gpt-oss-120b
semilla,1423,muy negativo,0.96,"Queja grave, describe problemas serios y desaconseja",openai/gpt-oss-120b
semilla,3994,positivo,0.88,Elogio moderado sin peros,openai/gpt-oss-120b
semilla,763,neutral,0.85,Comentario informativo sin valoración,openai/gpt-oss-120b
semilla,1715,neutral,0.84,Pros y contras equilibrados,openai/gpt-oss-120b
semilla,4696,positivo,0.87,Elogio mayor con pequeñas quejas,openai/gpt-oss-120b
semilla,833,positivo,0.9,Elogio breve y positivo,openai/gpt-oss-120b
semilla,3552,negativo,0.88,Quejas predominantes pese a algunos elogios,openai/gpt-oss-120b
semilla,562,negativo,0.9,Insatisfacción clara por mala atención,openai/gpt-oss-120b
semilla,2086,positivo,0.9,Elogio simple y positivo,openai/gpt-oss-120b
semilla,155,muy negativo,0.96,"Queja extrema, recomienda no usar",openai/gpt-oss-120b
semilla,3739,muy positivo,0.94,Elogio entusiasta y recomendación implícita,openai/gpt-oss-120b
semilla,593,neutral,0.85,Información sin valoración,openai/gpt-oss-120b
semilla,4254,muy positivo,0.93,Elogio amplio y recomendación implícita,openai/gpt-oss-120b
semilla,631,muy negativo,0.96,"Queja extrema, tono de enojo",openai/gpt-oss-120b
semilla,1747,neutral,0.82,Descripción informativa sin valoración clara,openai/gpt-oss-120b
semilla,4332,muy positivo,0.94,Elogio entusiasta y recomendación,openai/gpt-oss-120b
semilla,2316,negativo,0.89,Quejas predominantes pese a excepción positiva,openai/gpt-oss-120b
semilla,2939,neutral,0.84,"Pros y contras equilibrados, sin fuerte inclinación",openai/gpt-oss-120b
semilla,3086,positivo,0.85,"Destaca tamaño, cajas automáticas y estacionamiento, tono positivo",openai/gpt-oss-120b
semilla,1317,neutral,0.8,"Elogio y queja equilibrados, sin dominio claro",openai/gpt-oss-120b
semilla,3166,muy positivo,0.95,"Entusiasmo total, recomienda sin reservas",openai/gpt-oss-120b
semilla,1763,positivo,0.85,Menciona buena atención y proceso óptimo,openai/gpt-oss-120b
semilla,637,muy negativo,0.9,Enfoca pérdida de tiempo y falta de solución,openai/gpt-oss-120b
semilla,1292,negativo,0.8,Elogia presentación pero critica ambiente aburrido,openai/gpt-oss-120b
semilla,47,negativo,0.85,Señala deficiencia de velocidad y ascensores,openai/gpt-oss-120b
semilla,2876,muy positivo,0.9,Elogio entusiasta a calidad y variedad,openai/gpt-oss-120b
semilla,599,neutral,0.8,Queja de cola y elogio a rapidez y amabilidad,openai/gpt-oss-120b
semilla,3573,positivo,0.85,"Variedad y atención buenas, precios altos pero ofertas",openai/gpt-oss-120b
semilla,3117,muy positivo,0.95,"Entusiasmo extremo, recomendación implícita",openai/gpt-oss-120b
semilla,870,positivo,0.7,Comentario breve pero favorable,openai/gpt-oss-120b
semilla,4648,positivo,0.85,"Elogio a variedad, precios y atención",openai/gpt-oss-120b
semilla,2732,muy positivo,0.9,"Alto elogio y bendición, tono entusiasta",openai/gpt-oss-120b
semilla,2469,positivo,0.8,"Servicio bueno, aunque espera larga",openai/gpt-oss-120b
semilla,2421,muy negativo,0.95,Queja grave de cola y falta de asientos,openai/gpt-oss-120b
semilla,3948,neutral,0.8,"Elogio al personal, pero falta de tirendas",openai/gpt-oss-120b
semilla,3758,positivo,0.85,"Buenas ofertas y poca gente, tono favorable",openai/gpt-oss-120b
semilla,4154,muy positivo,0.95,"Elogio completo y entusiasta, sin reservas",openai/gpt-oss-120b
semilla,3868,negativo,0.85,Queja de larga espera y llamadas frecuentes,openai/gpt-oss-120b
semilla,3214,muy negativo,0.95,"Queja grave sobre seguridad y atención, recomienda no ir",openai/gpt-oss-120b
semilla,2674,negativo,0.88,"Queja de largas colas, aunque menciona variedad de productos",openai/gpt-oss-120b
semilla,691,negativo,0.9,Se queja de larga espera para tickets,openai/gpt-oss-120b
semilla,285,positivo,0.93,Elogio a amabilidad y rapidez del personal,openai/gpt-oss-120b
semilla,3688,neutral,0.85,Combina críticas de aisles y precios con elogios generales,openai/gpt-oss-120b
semilla,4398,positivo,0.94,"Elogia pastas y ajíes, sin quejas",openai/gpt-oss-120b
semilla,1260,positivo,0.96,Elogio general del centro comercial,openai/gpt-oss-120b
semilla,1192,positivo,0.95,Destaca ambiente agradable y prendas bonitas,openai/gpt-oss-120b
semilla,4704,neutral,0.84,Elogia productos pero lamenta eliminación de sección de plantas,openai/gpt-oss-120b
semilla,245,muy positivo,0.97,"Elogio enfático, lo califica como el mejor",openai/gpt-oss-120b
semilla,3259,neutral,0.9,Comentario informativo sin valoración clara,openai/gpt-oss-120b
semilla,1657,muy negativo,0.94,Queja grave por falta de información y dirección,openai/gpt-oss-120b
semilla,390,muy negativo,0.96,"Denuncia servicio pésimo, largas esperas y cierre abrupto",openai/gpt-oss-120b
semilla,3560,negativo,0.88,"Critica precios altos, aunque menciona excepciones",openai/gpt-oss-120b
