id_revision_neutral,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia
110,neutral,media,Combina aspectos positivos y negativos,si
111,positivo,alta,Comentario favorable sobre la experiencia,si
112,positivo,alta,Comentario favorable sobre la experiencia,si
113,neutral,baja,Texto vacío o insuficiente,no
114,neutral,baja,Texto vacío o insuficiente,no
115,positivo,alta,Comentario favorable sobre la experiencia,si
116,positivo,alta,Comentario favorable sobre la experiencia,si
117,neutral,baja,Texto ambiguo o poco concluyente,no
118,positivo,alta,Comentario favorable sobre la experiencia,si
119,neutral,media,Combina aspectos positivos y negativos,si
120,neutral,baja,Texto vacío o insuficiente,no
121,neutral,media,Combina aspectos positivos y negativos,si
122,neutral,media,Combina aspectos positivos y negativos,si
123,neutral,media,Combina aspectos positivos y negativos,si
124,negativo,alta,Crítica clara sobre la experiencia,si
125,neutral,media,Comentario descriptivo sin emoción clara,si
126,positivo,alta,Comentario favorable sobre la experiencia,si
127,neutral,media,Combina aspectos positivos y negativos,si
128,positivo,alta,Comentario favorable sobre la experiencia,si
129,neutral,media,Combina aspectos positivos y negativos,si
130,neutral,media,Combina aspectos positivos y negativos,si
131,neutral,baja,Texto ambiguo o poco concluyente,no
132,positivo,alta,Comentario favorable sobre la experiencia,si
133,positivo,alta,Comentario favorable sobre la experiencia,si
134,positivo,alta,Comentario favorable sobre la experiencia,si
135,negativo,alta,Crítica clara sobre la experiencia,si
136,positivo,alta,Comentario favorable sobre la experiencia,si
137,positivo,alta,Comentario favorable sobre la experiencia,si
138,neutral,media,Combina aspectos positivos y negativos,si
139,positivo,alta,Comentario favorable sobre la experiencia,si
140,neutral,media,Combina aspectos positivos y negativos,si
141,positivo,alta,Comentario favorable sobre la experiencia,si
142,positivo,alta,Comentario favorable sobre la experiencia,si
143,positivo,alta,Comentario favorable sobre la experiencia,si
144,neutral,baja,Texto ambiguo o poco concluyente,no
145,neutral,media,Combina aspectos positivos y negativos,si
146,positivo,alta,Comentario favorable sobre la experiencia,si
147,negativo,media,Tiene elogios pero predomina la queja,si
148,muy positivo,alta,Elogio fuerte y recomendación clara,si
149,positivo,alta,Comentario favorable sobre la experiencia,si
150,neutral,media,Combina aspectos positivos y negativos,si
151,negativo,alta,Crítica clara sobre la experiencia,si
152,positivo,alta,Comentario favorable sobre la experiencia,si
153,positivo,alta,Comentario favorable sobre la experiencia,si
154,positivo,alta,Comentario favorable sobre la experiencia,si
155,neutral,media,Combina aspectos positivos y negativos,si
156,negativo,alta,Crítica clara sobre la experiencia,si
157,neutral,baja,Texto ambiguo o poco concluyente,no
158,positivo,alta,Comentario favorable sobre la experiencia,si
159,neutral,baja,Texto ambiguo o poco concluyente,no
160,muy negativo,alta,Queja fuerte o rechazo claro,si
161,positivo,alta,Comentario favorable sobre la experiencia,si
162,positivo,alta,Comentario favorable sobre la experiencia,si
163,neutral,media,Combina aspectos positivos y negativos,si
164,positivo,alta,Comentario favorable sobre la experiencia,si
165,positivo,alta,Comentario favorable sobre la experiencia,si
166,neutral,media,Combina aspectos positivos y negativos,si
167,neutral,media,Combina aspectos positivos y negativos,si
168,negativo,alta,Crítica clara sobre la experiencia,si
169,positivo,alta,Comentario favorable sobre la experiencia,si
170,negativo,alta,Crítica clara sobre la experiencia,si
171,positivo,alta,Comentario favorable sobre la experiencia,si
172,neutral,media,Combina aspectos positivos y negativos,si
173,positivo,alta,Comentario favorable sobre la experiencia,si
174,negativo,alta,Crítica clara sobre la experiencia,si
175,muy negativo,alta,Queja fuerte o rechazo claro,si
176,negativo,alta,Crítica clara sobre la experiencia,si
177,neutral,media,Combina aspectos positivos y negativos,si
178,neutral,media,Combina aspectos positivos y negativos,si
179,neutral,media,Combina aspectos positivos y negativos,si
180,negativo,alta,Crítica clara sobre la experiencia,si
181,negativo,alta,Crítica clara sobre la experiencia,si
182,positivo,alta,Comentario favorable sobre la experiencia,si
183,positivo,alta,Comentario favorable sobre la experiencia,si
184,neutral,baja,Texto vacío o insuficiente,no
185,positivo,alta,Comentario favorable sobre la experiencia,si
186,positivo,alta,Comentario favorable sobre la experiencia,si
187,neutral,media,Combina aspectos positivos y negativos,si
188,negativo,alta,Crítica clara sobre la experiencia,si
189,neutral,media,Combina aspectos positivos y negativos,si
190,muy positivo,alta,Elogio fuerte y recomendación clara,si
191,negativo,alta,Crítica clara sobre la experiencia,si
192,neutral,media,Combina aspectos positivos y negativos,si
193,neutral,baja,Texto ambiguo o poco concluyente,no
194,neutral,baja,Texto ambiguo o poco concluyente,no
195,neutral,media,Combina aspectos positivos y negativos,si
196,negativo,alta,Crítica clara sobre la experiencia,si
197,positivo,alta,Comentario favorable sobre la experiencia,si
198,neutral,media,Combina aspectos positivos y negativos,si
199,muy positivo,alta,Elogio fuerte y recomendación clara,si
200,negativo,alta,Crítica clara sobre la experiencia,si
201,neutral,media,Combina aspectos positivos y negativos,si
202,muy negativo,alta,Queja fuerte o rechazo claro,si
203,negativo,alta,Crítica clara sobre la experiencia,si
204,positivo,alta,Comentario favorable sobre la experiencia,si
205,positivo,alta,Comentario favorable sobre la experiencia,si
206,positivo,alta,Comentario favorable sobre la experiencia,si
207,positivo,alta,Comentario favorable sobre la experiencia,si
208,positivo,alta,Comentario favorable sobre la experiencia,si
209,neutral,media,Combina aspectos positivos y negativos,si
210,neutral,media,Combina aspectos positivos y negativos,si
211,positivo,alta,Comentario favorable sobre la experiencia,si
212,negativo,alta,Crítica clara sobre la experiencia,si
213,neutral,baja,Texto ambiguo o poco concluyente,no
214,positivo,alta,Comentario favorable sobre la experiencia,si
215,positivo,alta,Comentario favorable sobre la experiencia,si
216,negativo,alta,Crítica clara sobre la experiencia,si
217,negativo,alta,Crítica clara sobre la experiencia,si
218,muy negativo,alta,Queja fuerte o rechazo claro,si
219,negativo,alta,Crítica clara sobre la experiencia,si
220,muy negativo,alta,Queja fuerte o rechazo claro,si
221,neutral,baja,Texto ambiguo o poco concluyente,no
222,neutral,media,Combina aspectos positivos y negativos,si
223,muy positivo,alta,Elogio fuerte y recomendación clara,si
224,positivo,alta,Comentario favorable sobre la experiencia,si
225,positivo,alta,Comentario favorable sobre la experiencia,si
226,negativo,alta,Crítica clara sobre la experiencia,si
227,negativo,alta,Crítica clara sobre la experiencia,si
228,neutral,media,Combina aspectos positivos y negativos,si
229,neutral,media,Combina aspectos positivos y negativos,si
230,negativo,alta,Crítica clara sobre la experiencia,si
231,neutral,media,Combina aspectos positivos y negativos,si
232,positivo,alta,Comentario favorable sobre la experiencia,si
233,negativo,alta,Crítica clara sobre la experiencia,si
234,neutral,media,Combina aspectos positivos y negativos,si
235,negativo,alta,Crítica clara sobre la experiencia,si
236,muy positivo,alta,Elogio fuerte y recomendación clara,si
237,negativo,alta,Crítica clara sobre la experiencia,si
238,muy negativo,alta,Queja fuerte o rechazo claro,si
239,neutral,media,Combina aspectos positivos y negativos,si
240,negativo,alta,Crítica clara sobre la experiencia,si
241,neutral,media,Combina aspectos positivos y negativos,si
242,negativo,alta,Crítica clara sobre la experiencia,si
243,neutral,media,Combina aspectos positivos y negativos,si
244,muy negativo,alta,Queja fuerte o rechazo claro,si
245,negativo,alta,Crítica clara sobre la experiencia,si
246,neutral,media,Combina aspectos positivos y negativos,si
247,neutral,baja,Texto ambiguo o poco concluyente,no
248,neutral,media,Combina aspectos positivos y negativos,si
249,positivo,alta,Comentario favorable sobre la experiencia,si
250,negativo,alta,Crítica clara sobre la experiencia,si
251,neutral,media,Combina aspectos positivos y negativos,si
252,neutral,media,Combina aspectos positivos y negativos,si
253,negativo,media,Tiene elogios pero predomina la queja,si
254,positivo,media,Valoración favorable con texto poco expresivo,si
255,neutral,media,Combina aspectos positivos y negativos,si
256,neutral,media,Combina aspectos positivos y negativos,si
257,neutral,media,Combina aspectos positivos y negativos,si
258,neutral,media,Combina aspectos positivos y negativos,si
259,neutral,media,Combina aspectos positivos y negativos,si
260,neutral,media,Combina aspectos positivos y negativos,si
261,neutral,media,Combina aspectos positivos y negativos,si
262,neutral,media,Combina aspectos positivos y negativos,si
263,neutral,media,Combina aspectos positivos y negativos,si
264,neutral,media,Combina aspectos positivos y negativos,si
265,neutral,media,Comentario descriptivo sin emoción clara,si
266,neutral,media,Combina aspectos positivos y negativos,si
267,neutral,media,Combina aspectos positivos y negativos,si
268,neutral,media,Combina aspectos positivos y negativos,si
269,neutral,media,Combina aspectos positivos y negativos,si
270,neutral,media,Combina aspectos positivos y negativos,si
271,neutral,media,Combina aspectos positivos y negativos,si
272,neutral,media,Combina aspectos positivos y negativos,si
273,neutral,media,Combina aspectos positivos y negativos,si
274,neutral,media,Combina aspectos positivos y negativos,si
275,neutral,media,Combina aspectos positivos y negativos,si
276,neutral,media,Combina aspectos positivos y negativos,si
277,neutral,media,Combina aspectos positivos y negativos,si
278,muy positivo,alta,Elogio fuerte y recomendación clara,si
279,neutral,media,Combina aspectos positivos y negativos,si
280,neutral,media,Combina aspectos positivos y negativos,si
281,positivo,alta,Comentario favorable sobre la experiencia,si
282,neutral,media,Combina aspectos positivos y negativos,si
283,neutral,media,Combina aspectos positivos y negativos,si
284,neutral,media,Combina aspectos positivos y negativos,si
285,neutral,media,Combina aspectos positivos y negativos,si
286,neutral,media,Combina aspectos positivos y negativos,si
287,neutral,media,Combina aspectos positivos y negativos,si
288,neutral,media,Combina aspectos positivos y negativos,si
289,neutral,media,Combina aspectos positivos y negativos,si
290,neutral,media,Combina aspectos positivos y negativos,si
291,neutral,media,Combina aspectos positivos y negativos,si
292,positivo,alta,Comentario favorable sobre la experiencia,si
293,neutral,media,Combina aspectos positivos y negativos,si
294,neutral,media,Combina aspectos positivos y negativos,si
295,neutral,media,Combina aspectos positivos y negativos,si
296,neutral,media,Combina aspectos positivos y negativos,si
297,neutral,media,Combina aspectos positivos y negativos,si
298,neutral,media,Combina aspectos positivos y negativos,si
299,neutral,media,Combina aspectos positivos y negativos,si
300,negativo,media,Tiene elogios pero predomina la queja,si
